date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:14	515/515	---M--	200	added ('OK')	image/gif	etag:%2219134135-203-8971b980%22	http://www.kawashima-pack.co.jp/eng/img/japanese.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/img/japanese.gif	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:15	141/141	---M--	200	added ('OK')	image/gif	etag:%2219134137-8d-8971b980%22	http://www.kawashima-pack.co.jp/eng/img/line.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/img/line.gif	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:16	835/835	---M--	200	added ('OK')	image/gif	etag:%2219134138-343-8980fbc0%22	http://www.kawashima-pack.co.jp/eng/img/menu01.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/img/menu01.gif	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:17	9257/9257	---M--	200	added ('OK')	text/html	etag:%221913407b-2429-7b60a680%22	http://www.kawashima-pack.co.jp/eng/Outline.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/Outline.html	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:17	1463/1463	---M--	200	added ('OK')	image/gif	etag:%2219134139-5b7-8980fbc0%22	http://www.kawashima-pack.co.jp/eng/img/menu02.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/img/menu02.gif	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:19	13620/13620	---M--	200	added ('OK')	text/html	etag:%2219134078-3534-7b516440%22	http://www.kawashima-pack.co.jp/eng/MD-M.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/MD-M.html	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:19	2338/2338	---M--	200	added ('OK')	image/gif	etag:%221913413a-922-8980fbc0%22	http://www.kawashima-pack.co.jp/eng/img/menu03.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/img/menu03.gif	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:21	9588/9588	---M--	200	added ('OK')	text/html	etag:%221913407c-2574-7b60a680%22	http://www.kawashima-pack.co.jp/eng/top.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/top.html	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:21	2634/2634	---M--	200	added ('OK')	image/gif	etag:%221913413c-a4a-89903e00%22	http://www.kawashima-pack.co.jp/eng/img/menu04new.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/img/menu04new.gif	(from http://www.kawashima-pack.co.jp/eng/navi.html)
09:00:22	759/759	---M--	200	added ('OK')	image/gif	etag:%221913413b-2f7-89903e00%22	http://www.kawashima-pack.co.jp/eng/img/menu04.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/eng/img/menu04.gif	(from http://www.kawashima-pack.co.jp/eng/navi.html)
