date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:46	43/43	U-----	200	untouched ('')	image/gif	etag:%22191342f9-2b-9c848980%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/logo.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/logo.gif	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:46	1782/1782	U-----	200	untouched ('')	image/gif	etag:%22191342eb-6f6-9c383e40%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/form.gif	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/form.gif	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:46	12896/12896	U-----	200	untouched ('')	image/jpeg	etag:%22191342ec-3260-9c478080%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/GW-7_02_s.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/GW-7_02_s.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:47	8914/8914	U-----	200	untouched ('')	image/jpeg	etag:%22191342f0-22d2-9c56c2c0%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7000V_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-7000V_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:47	9292/9292	U-----	200	untouched ('')	image/jpeg	etag:%22191342f2-244c-9c660500%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-700e_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-700e_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:47	9330/9330	U-----	200	untouched ('')	image/jpeg	etag:%22191342f8-2472-9c848980%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF70_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF70_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:47	5958/5958	U-----	200	untouched ('OK')	text/html	etag:%22191342ff-1746-9dd43b00%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-70.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-70.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:48	11260/11260	U-----	200	untouched ('')	image/jpeg	etag:%22191342ee-2bfc-9c478080%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-1000-b_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-1000-b_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:48	10338/10338	U-----	200	untouched ('OK')	text/html	etag:%22191342fd-2862-9dc4f8c0%22	http://www.kawashima-pack.co.jp/kbf-y-top-at/KBF-1000.html	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top-at/KBF-1000.html	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
09:14:48	6526/6526	U-----	200	untouched ('')	image/jpeg	etag:%22191342ed-197e-9c478080%22	http://www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-1000-2_index.jpg	G:/Kyoto/Kawashima/Kawashima/www.kawashima-pack.co.jp/kbf-y-top/attodetl.files/KBF-1000-2_index.jpg	(from http://www.kawashima-pack.co.jp/kbf-y-top/kbf-y-top.html)
